data,pais,variavel,valor,atualizacao
1960-01-01,Australia,"Inflação (anual, %)",3.72881355932203,2024-03-31
1961-01-01,Australia,"Inflação (anual, %)",2.28758169934641,2024-03-31
1962-01-01,Australia,"Inflação (anual, %)",-0.319488817891379,2024-03-31
1963-01-01,Australia,"Inflação (anual, %)",0.641025641025652,2024-03-31
1964-01-01,Australia,"Inflação (anual, %)",2.86624203821656,2024-03-31
1965-01-01,Australia,"Inflação (anual, %)",3.40557275541795,2024-03-31
1966-01-01,Australia,"Inflação (anual, %)",3.29341317365269,2024-03-31
1967-01-01,Australia,"Inflação (anual, %)",3.47826086956522,2024-03-31
1968-01-01,Australia,"Inflação (anual, %)",2.52100840336134,2024-03-31
1969-01-01,Australia,"Inflação (anual, %)",3.27868852459016,2024-03-31
1970-01-01,Australia,"Inflação (anual, %)",3.43915343915341,2024-03-31
1971-01-01,Australia,"Inflação (anual, %)",6.13810741687984,2024-03-31
1972-01-01,Australia,"Inflação (anual, %)",6.02409638554213,2024-03-31
1973-01-01,Australia,"Inflação (anual, %)",9.09090909090915,2024-03-31
1974-01-01,Australia,"Inflação (anual, %)",15.4166666666666,2024-03-31
1975-01-01,Australia,"Inflação (anual, %)",15.1624548736462,2024-03-31
1976-01-01,Australia,"Inflação (anual, %)",13.3228840125392,2024-03-31
1977-01-01,Australia,"Inflação (anual, %)",12.3098201936376,2024-03-31
1978-01-01,Australia,"Inflação (anual, %)",8.0049261083744,2024-03-31
1979-01-01,Australia,"Inflação (anual, %)",9.12200684150515,2024-03-31
1980-01-01,Australia,"Inflação (anual, %)",10.1358411703239,2024-03-31
1981-01-01,Australia,"Inflação (anual, %)",9.48766603415561,2024-03-31
1982-01-01,Australia,"Inflação (anual, %)",11.3518197573657,2024-03-31
1983-01-01,Australia,"Inflação (anual, %)",10.0389105058366,2024-03-31
1984-01-01,Australia,"Inflação (anual, %)",3.96039603960396,2024-03-31
1985-01-01,Australia,"Inflação (anual, %)",6.734693877551,2024-03-31
1986-01-01,Australia,"Inflação (anual, %)",9.05035054174634,2024-03-31
1987-01-01,Australia,"Inflação (anual, %)",8.53302162478083,2024-03-31
1988-01-01,Australia,"Inflação (anual, %)",7.21593968766828,2024-03-31
1989-01-01,Australia,"Inflação (anual, %)",7.53390256152688,2024-03-31
1990-01-01,Australia,"Inflação (anual, %)",7.33302195235872,2024-03-31
1991-01-01,Australia,"Inflação (anual, %)",3.17667536988685,2024-03-31
1992-01-01,Australia,"Inflação (anual, %)",1.01223112610714,2024-03-31
1993-01-01,Australia,"Inflação (anual, %)",1.75365344467641,2024-03-31
1994-01-01,Australia,"Inflação (anual, %)",1.96963479688141,2024-03-31
1995-01-01,Australia,"Inflação (anual, %)",4.62776659959759,2024-03-31
1996-01-01,Australia,"Inflação (anual, %)",2.61538461538461,2024-03-31
1997-01-01,Australia,"Inflação (anual, %)",0.224887556221887,2024-03-31
1998-01-01,Australia,"Inflação (anual, %)",0.860134629768142,2024-03-31
1999-01-01,Australia,"Inflação (anual, %)",1.48312940304041,2024-03-31
2000-01-01,Australia,"Inflação (anual, %)",4.45743514797224,2024-03-31
2001-01-01,Australia,"Inflação (anual, %)",4.40713536201469,2024-03-31
2002-01-01,Australia,"Inflação (anual, %)",2.98157453936348,2024-03-31
2003-01-01,Australia,"Inflação (anual, %)",2.73259596616786,2024-03-31
2004-01-01,Australia,"Inflação (anual, %)",2.34325522482583,2024-03-31
2005-01-01,Australia,"Inflação (anual, %)",2.6918316831683202,2024-03-31
2006-01-01,Australia,"Inflação (anual, %)",3.55528773727026,2024-03-31
2007-01-01,Australia,"Inflação (anual, %)",2.32761128891476,2024-03-31
2008-01-01,Australia,"Inflação (anual, %)",4.35029854990048,2024-03-31
2009-01-01,Australia,"Inflação (anual, %)",1.77111716621254,2024-03-31
2010-01-01,Australia,"Inflação (anual, %)",2.91834002677376,2024-03-31
2011-01-01,Australia,"Inflação (anual, %)",3.3038501560874,2024-03-31
2012-01-01,Australia,"Inflação (anual, %)",1.76278015613196,2024-03-31
2013-01-01,Australia,"Inflação (anual, %)",2.4498886414254,2024-03-31
2014-01-01,Australia,"Inflação (anual, %)",2.48792270531404,2024-03-31
2015-01-01,Australia,"Inflação (anual, %)",1.50836672165921,2024-03-31
2016-01-01,Australia,"Inflação (anual, %)",1.27699094497324,2024-03-31
2017-01-01,Australia,"Inflação (anual, %)",1.94864740944527,2024-03-31
2018-01-01,Australia,"Inflação (anual, %)",1.91140094445691,2024-03-31
2019-01-01,Australia,"Inflação (anual, %)",1.61076787290379,2024-03-31
2020-01-01,Australia,"Inflação (anual, %)",0.846905537459305,2024-03-31
2021-01-01,Australia,"Inflação (anual, %)",2.86391042204994,2024-03-31
2022-01-01,Australia,"Inflação (anual, %)",6.59409671341846,2024-03-31
1960-01-01,Belgium,"Inflação (anual, %)",0.299467254769695,2024-03-31
1961-01-01,Belgium,"Inflação (anual, %)",0.992676260767339,2024-03-31
1962-01-01,Belgium,"Inflação (anual, %)",1.40460703543514,2024-03-31
1963-01-01,Belgium,"Inflação (anual, %)",2.14800341332202,2024-03-31
1964-01-01,Belgium,"Inflação (anual, %)",4.1687605856436996,2024-03-31
1965-01-01,Belgium,"Inflação (anual, %)",4.06520137474643,2024-03-31
1966-01-01,Belgium,"Inflação (anual, %)",4.17434761852995,2024-03-31
1967-01-01,Belgium,"Inflação (anual, %)",2.73030268590907,2024-03-31
1968-01-01,Belgium,"Inflação (anual, %)",2.70144982931349,2024-03-31
1969-01-01,Belgium,"Inflação (anual, %)",3.75399229053284,2024-03-31
1970-01-01,Belgium,"Inflação (anual, %)",3.9084723847191,2024-03-31
1971-01-01,Belgium,"Inflação (anual, %)",4.34362854612092,2024-03-31
1972-01-01,Belgium,"Inflação (anual, %)",5.44843128438085,2024-03-31
1973-01-01,Belgium,"Inflação (anual, %)",6.95528008719914,2024-03-31
1974-01-01,Belgium,"Inflação (anual, %)",12.6778877513452,2024-03-31
1975-01-01,Belgium,"Inflação (anual, %)",12.7681985920515,2024-03-31
1976-01-01,Belgium,"Inflação (anual, %)",9.06860981054968,2024-03-31
1977-01-01,Belgium,"Inflação (anual, %)",7.09600059132598,2024-03-31
1978-01-01,Belgium,"Inflação (anual, %)",4.47059331592944,2024-03-31
1979-01-01,Belgium,"Inflação (anual, %)",4.46908394900479,2024-03-31
1980-01-01,Belgium,"Inflação (anual, %)",6.64868829655356,2024-03-31
1981-01-01,Belgium,"Inflação (anual, %)",7.62748656814276,2024-03-31
1982-01-01,Belgium,"Inflação (anual, %)",8.72654906555469,2024-03-31
1983-01-01,Belgium,"Inflação (anual, %)",7.66160983743883,2024-03-31
1984-01-01,Belgium,"Inflação (anual, %)",6.34177491009126,2024-03-31
1985-01-01,Belgium,"Inflação (anual, %)",4.86873399496944,2024-03-31
1986-01-01,Belgium,"Inflação (anual, %)",1.2943681910248,2024-03-31
1987-01-01,Belgium,"Inflação (anual, %)",1.55338261314948,2024-03-31
1988-01-01,Belgium,"Inflação (anual, %)",1.16093493415325,2024-03-31
1989-01-01,Belgium,"Inflação (anual, %)",3.10705065111094,2024-03-31
1990-01-01,Belgium,"Inflação (anual, %)",3.44831217961808,2024-03-31
1991-01-01,Belgium,"Inflação (anual, %)",3.2153106926081,2024-03-31
1992-01-01,Belgium,"Inflação (anual, %)",2.42795567164615,2024-03-31
1993-01-01,Belgium,"Inflação (anual, %)",2.75442643473461,2024-03-31
1994-01-01,Belgium,"Inflação (anual, %)",2.37754084476398,2024-03-31
1995-01-01,Belgium,"Inflação (anual, %)",1.46796699090272,2024-03-31
1996-01-01,Belgium,"Inflação (anual, %)",2.07702107350674,2024-03-31
1997-01-01,Belgium,"Inflação (anual, %)",1.62816049512958,2024-03-31
1998-01-01,Belgium,"Inflação (anual, %)",0.94925028835061,2024-03-31
1999-01-01,Belgium,"Inflação (anual, %)",1.12084823417845,2024-03-31
2000-01-01,Belgium,"Inflação (anual, %)",2.54451776190908,2024-03-31
2001-01-01,Belgium,"Inflação (anual, %)",2.46925823086078,2024-03-31
2002-01-01,Belgium,"Inflação (anual, %)",1.64521436175357,2024-03-31
2003-01-01,Belgium,"Inflação (anual, %)",1.5889639997038,2024-03-31
2004-01-01,Belgium,"Inflação (anual, %)",2.09728311239314,2024-03-31
2005-01-01,Belgium,"Inflação (anual, %)",2.78143263670022,2024-03-31
2006-01-01,Belgium,"Inflação (anual, %)",1.7912077007046,2024-03-31
2007-01-01,Belgium,"Inflação (anual, %)",1.82305630026808,2024-03-31
2008-01-01,Belgium,"Inflação (anual, %)",4.48944420508401,2024-03-31
2009-01-01,Belgium,"Inflação (anual, %)",-0.0531456741253769,2024-03-31
2010-01-01,Belgium,"Inflação (anual, %)",2.18929920422457,2024-03-31
2011-01-01,Belgium,"Inflação (anual, %)",3.53208210722742,2024-03-31
2012-01-01,Belgium,"Inflação (anual, %)",2.83966343445899,2024-03-31
2013-01-01,Belgium,"Inflação (anual, %)",1.1130959402754,2024-03-31
2014-01-01,Belgium,"Inflação (anual, %)",0.340002833356922,2024-03-31
2015-01-01,Belgium,"Inflação (anual, %)",0.561429152790065,2024-03-31
2016-01-01,Belgium,"Inflação (anual, %)",1.97385264653181,2024-03-31
2017-01-01,Belgium,"Inflação (anual, %)",2.12597086002607,2024-03-31
2018-01-01,Belgium,"Inflação (anual, %)",2.05316499865186,2024-03-31
2019-01-01,Belgium,"Inflação (anual, %)",1.43681956996429,2024-03-31
2020-01-01,Belgium,"Inflação (anual, %)",0.740791812220344,2024-03-31
2021-01-01,Belgium,"Inflação (anual, %)",2.44024851144084,2024-03-31
2022-01-01,Belgium,"Inflação (anual, %)",9.597511728725,2024-03-31
1981-01-01,Brazil,"Inflação (anual, %)",101.725072957927,2024-03-31
1982-01-01,Brazil,"Inflação (anual, %)",100.54335919485,2024-03-31
1983-01-01,Brazil,"Inflação (anual, %)",135.027682230473,2024-03-31
1984-01-01,Brazil,"Inflação (anual, %)",192.121733132051,2024-03-31
1985-01-01,Brazil,"Inflação (anual, %)",225.989665211895,2024-03-31
1986-01-01,Brazil,"Inflação (anual, %)",147.142826237604,2024-03-31
1987-01-01,Brazil,"Inflação (anual, %)",228.336162575513,2024-03-31
1988-01-01,Brazil,"Inflação (anual, %)",629.114509120897,2024-03-31
1989-01-01,Brazil,"Inflação (anual, %)",1430.72372514721,2024-03-31
1990-01-01,Brazil,"Inflação (anual, %)",2947.732772483,2024-03-31
1991-01-01,Brazil,"Inflação (anual, %)",432.786661926461,2024-03-31
1992-01-01,Brazil,"Inflação (anual, %)",951.962053052818,2024-03-31
1993-01-01,Brazil,"Inflação (anual, %)",1927.38079016027,2024-03-31
1994-01-01,Brazil,"Inflação (anual, %)",2075.88839757325,2024-03-31
